,Unnamed: 0,Unnamed: 0.1,Text,Label
10,10,10,"@riwired @MIFheili1960 Either he was a Muslim convert or completely insane, which is a prerequisite to be a Muslim convert.@PaulSte42038667 @riwired the tipping point is not far away.... The ingredients are nearly right for all out conflict #sad@PaulSte42038667 @riwired best to ask than put head in the sand... If its not suicide? What is it?“@riwired:Co-Pilot of #GermanWings Airbus Was a Muslim convert.
""Hero of Islamic State""
http://t.co/JFE5ekhPs7 #WhiteMuslims” #cuntwatch@riwired no, he just needed a job....I mean... Ahem 😬.@MIFheili1960 Bad for Islam: all these prisoners &amp; disturbed people to convert. Muslims need to stop asking/taking anyone they can convert.@riwired the founder of Islam was a white man, converts always are most fervent@GROGParty @riwired i agree, and not sadly, shit needs to come to a head. My WW2 grandfather would agree #RoyStewart@newguiniea1939@riwired @bean3ie he way really a Muslim? 
is that confirmed?@BeNaums @riwired @bean3ie Y only the converts.. u think the original ones (arabs)  r any better..??@riwired I knew it!  Earlier they wouldn't say what his faith was. Dead giveaway. Such a tragedy.@riwired - but of course it's nothing to do with Islam!@PaulSte42038667 @riwired I'm not trivialising a tragedy... I want hard questions asked and real answers@GROGParty @riwired a f@@king sad day for the world. Sometimes people are just f@@ked without a reason. I wish I knew.@GROGParty @riwired I agree mate, but without care we trivialise these souls as trophies of shitbags, and those fuckers don't need credit@riwired Again this proves it's not racial, it's a part of the religion. Leaving the rest of us with no way to tell which one will kill us.@riwired Seriously!@GROGParty @riwired absolutely, don't give the fuckers any more air time than required. That's how the fuckers work.
Fucking fuckers@PaulSte42038667 @riwired I hear u... I also think the media and release of info is to control the reaction to the truth@sanitizer911 @riwired @bean3ie
haha no of course not, but the converts are think they have to prove them self, that's why@GROGParty @riwired c'mon mate, don't make these lost lives media-fodder because of assumptions. #patience@PaulSte42038667 @riwired unfortunately it seems to be brewing@riwired @bean3ie the converts are the most evil in Islam.
in Germany all the big mosques are running by such converts. Germany is invadedConverts are DISTURBED!!
Co-Pilot of #GermanWings Airbus Was a Muslim convert.
""Hero of Islamic State""
http://t.co/jBoJb6rfor #WhiteMuslims",rumours
11,11,11,"@airlivenet @JulieB_LFC really sad@airlivenet @wmiddelkoop btw, anyone know last words #MH17 ? Oh wait… Kiev refuses to release ATC tapes. Which seems to be OK w/ everyone…@tomaatman liar. #MH17 CVR with Dutch Safety Board. Normal flight ops indicated on CVR.  @airlivenet @wmiddelkoop@tomaatman @airlivenet @wmiddelkoop

Not liar, uninformed

#MH17 under Kiev ATC on entry (not released)
Then under Ukr's Dnipro ATC b4 crash@CT4444 @airlivenet @wmiddelkoop troll blocked long ago ;)@airlivenet @nilsrompen@iomguiM @airlivenet Very strange..@airlivenet @AhronYoung I broke that news over 50 mins ago :pSe confirma que desde el #Airbus320 se mandaron varios mensajes de socorro antes de anticipar un aterrizaje de emergencia (vía @airlivenet)@airlivenet this is not a regular emergency message ... ""Mayday"" or ""pan pan"" but never ""emergency emergency"" ...“@airlivenet: BREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" @PIX11NewsBREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" http://t.co/wFg8KTSve2",rumours
12,12,12,"@France24_en BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobieVIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM",rumours
13,13,13,"“@euronews: #breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/FUnGiA9iD1”@euronews BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie@euronews BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobieURGENTE

“@euronews: #breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/uNGzkXrNf5”#breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/suRCtXRGsU",rumours
14,14,14,"@SputnikInt Somebody trying to put a spanner in the works between Merkel and Hollande, that's for sure @marcelsardo@SputnikInt Schempp-Hirth Duo Discus glider currently hovering over the crash areaAirbusA320 Barcelona to Düsseldorf lost from Flightradar24 at 6800ft at 0939 UTC http://t.co/TBUYi3DMvI via @SputnikInt :( sad news@SputnikInt @flightradar24 It was losing altitude long before, it seems! :((MORE: Airbus #A320 was lost from Flightradar24 at 6800 feet at 09.39 UTC time #GermanWings http://t.co/WKhAjiH6pQ http://t.co/n4vTej13ff",rumours
15,15,15,"@slone sorry for the disappointment but he was not@slone @mgillaspie German and Jewish.@slone Really???@slone cannot say that the original written source in German is a neutral piece of information. Awaiting revelations.@slone if you crashed a plane the same site would do a write up saying you were a Muslim convert. It's all innuendo and propaganda.@slone We all knew it when we were told he locked the Captain out of the cockpit. Only waiting for  verification. The world has slipped..MUSLIM CONVERT? A German news website, http://t.co/sZQQ0pKwM1 claims Andreas Lubitz was a Muslim convert http://t.co/nX2CXzgiJr",rumours
16,16,16,"@Ripilen @gebauerspon But did u feel an urge to kill as many as possible?@gebauerspon 

Quit making excuses for murderers and criminals. It's obvious murderers have mental problems, they're still murderers.@ffschweden @gebauerspon u mean the schoolmates, not mr gebauer, mybe ur right, but we dont´t no if co-pilot the real blacksheep@ffschweden @gebauerspon If I had been the suicidal type, maybe? Why not?@gebauerspon well that is not the issue here! it is 2015 &amp; problem is the pilots apparently aren't going through frequent psyche evaluations@gebauerspon Burn out at 22?! 👀 #4U9525@ffschweden @gebauerspon agree, they DO harm themselves, and in some cases do harm others too, like maybe in this one.@andreascseh @fonealign @gebauerspon Friends,they aren't telling us about other persons of interest on board the plane!There's more to this!@gebauerspon 
don't be an ass gebauer, depression doesn't make you kill 150 people. dark, sadist tendencies do.@gebauerspon and that is not unique to Lufthansa which is scarier!@gebauerspon Means, we better don't ever fly Lufthansa again, psychos on board? (I could take a break every day due to burnout syndrom)Schulfreunde in Montabaur oder in Bremen? Danke @gebauersponAm I the only one who is sensing a faint thwarted gay vibe off this whole story @gebauerspon@EdiFFM @ffschweden @gebauerspon  ADAD-Sydrom? May be he was a solipsistic misanthrop...we now too less about the situation...@EdiFFM @ffschweden @gebauerspon *know*@gebauerspon People who suffer of depression do normally not harm others. Unlikely reason, Mr Gebauer.@gebauerspon How, oh how could he do this so coldly, so deliberately ?? Is this 'the German way' ? Or is this the radical terrorist way ?@ffschweden @gebauerspon They dont? I have been depressed, and you dont care about other people at all.schoolmates of co-pilot who crashed #4U9525 tell german reporters he took 6-months break from flight training in 2009 due to burnout-syndrom",rumours
17,17,17,"@SonofLiberty357 @gatewaypundit SHOCKER.@SonofLiberty357 @gatewaypundit Bets off.. I won...@SonofLiberty357 @lyonspride121 @gatewaypundit if true we now know why state dept immediately claimed his religion was not germane@CajunJarhead @SonofLiberty357 @Psysamurai33317 @gatewaypundit Most media are publishing the mental illness theory. Well see..@CajunJarhead @SonofLiberty357 @Psysamurai33317 @gatewaypundit I saw this same article yesterday but other medias not confirming this - yet@LodiSilverado @SonofLiberty357 @gatewaypundit I, too, am shocked...Shocked! #tcot http://t.co/9eRvQOmceI@SonofLiberty357 @Psysamurai33317 @gatewaypundit 
I freakin' knew it!@SonofLiberty357 @gatewaypundit Imagine that.. And he even had a Job..
Oh well, I guess it's Bushes fault..@lodisilverado  Breivik-Christian terrorist(by liberal logic) .Rest all cases ""Terrorist hv no religion""
 http://t.co/Uf66hQuchB@LodiSilverado @SonofLiberty357 @gatewaypundit I'm shocked! #saidnooneever@LodiSilverado @gatewaypundit love that meme my friend. Mind if I use it?@cheydakjo @CajunJarhead @SonofLiberty357 @gatewaypundit I do not believe any media will.@SonofLiberty357 @Psysamurai33317 @gatewaypundit Probably driven to crash that aircraft by those evil Christians and Crusades BO will say.@lodisilverado  @sonofliberty357 
 Now expect Global libbies join Chorus ""Terrorists have no religion"" except the act is by KafirWell, well, well! @SonofLiberty357 @gatewaypundit http://t.co/hkTxbfRKAx@ShahapurkarAnil @LodiSilverado @SonofLiberty357 lolI wondered: jihad or Prozac? Both? @SonofLiberty357 @gatewaypundit@SonofLiberty357 @gatewaypundit Surprise surprise@LodiSilverado @SonofLiberty357 @gatewaypundit Hm, wonder how many other crashes have been?@SonofLiberty357 @peddoc63 @gatewaypundit Shock not! They are out to get us.@SonofLiberty357 @gatewaypundit I puspected as much.@SonofLiberty357 @gatewaypundit That's almost too clean isn't it? Who was on the passenger list? There is something more to this.@CajunJarhead @SonofLiberty357 @gatewaypundit We all were just waiting 4 that shoe 2 drop. Didn't have 2 B psychic/detective #WakeUpAmerica@CajunJarhead @SonofLiberty357 @Psysamurai33317 @gatewaypundit and spent time at mosque in Bremen@cheydakjo @SonofLiberty357 @Psysamurai33317 @gatewaypundit 
MSM is pushing 'mental illness' covered up by pilot!@elisamich0422 @SonofLiberty357 @gatewaypundit You just KNEW this was coming.BREAKING GERMAN NEWS: Germanwings Airbus Co-Pilot Was MUSLIM CONVERT http://t.co/oRtt0ab4YA via @gatewaypundit",rumours
18,18,18,"@slone   Knew It!@Allochtoons @slone Lijkt inderdaad onzin. Voortschrijdend inzicht....@slone Then surprisingly converted to ""dog shit"" midflight!@slone all evidence? Name one from a non biased source@slone sounds like bullshit.  So many people want so mad a link with Muslims aka terrorism ... so stupidHet lijkt er niet alleen op het is gewoon onzin. Als ""verward"", ""gek"", ""depressief"" in beeld komt = 't geen 'moslim'. @Wauwelwok @slone@slone I already said he was a Muslim as soon as they said the Germanwing airplane crashed. It's very obvious anymore with terrorist.@slone @sharmila_swamy That explains nutty behaviour and desire to kill innocents. Bastard. Let him rot in hell@slone @ianslessor WesternCiv needs to hear whole truth, no matter what!
Lubitz is an evil terrorist either way, islamic or depressed.@slone @ianslessor Squeeze harder, it can be done!@slone Thanks!
I should have checked your other posts.
Sorry.@slone https://t.co/uQYRZkH2G2 http://t.co/sSmErpLEEKRetweet je dit soort onzin echt serieus?@slone @Wauwelwok  👀 http://t.co/JSFvZpGnAmLINK: http://t.co/nX2CXzgiJr is in several other tweets. Can't fit it in all! RT @ianslessor @slone@slone Cite?@slone @SemperFiCop So far ZERO EVIDENCE. Just rumorsAll evidence indicates copilot of Airbus machine in his 6-months break during his training as a pilot in Germanwings, converted to Islam",rumours
19,19,19,"@XHNews BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobieBREAKING: Lufthansa's Germanwings plane crashes in southern France -- Report",rumours
20,20,20,"@EddieSureman can't help but laugh at people that respond like that lol. Why didn't you just not respond cause you obviously read the tweet@FoxNews *IF* it was, do suicidal people want to take others with them?  Not snarky.  Truly curious.@J_Slaven13 get some followers then I'll read that tweet@FoxNews a depressed person could kill himself but why would he take the lives of others without ideological or vengeance incentives.@FoxNews ...pilot is a f*cking coward!!!...should have jump off a dam bridge instead of killing innocent people...poor families..😢@FoxNews No excuse...everyone battles something..still know right from VERY wrong..@FoxNews I just wonder if he cried allah un abar b4killing all those people... was he one of the good muslims@EddieSureman all the tweet is doing is stating a fact. Not evidence.@HippoluATX @FoxNews 12 minutes silence .bit suspicious if you asked me!@J_Slaven13 you're an idiot@FoxNews  sigh@EddieSureman you still read the tweet@FoxNews 
He lost, miserably! God just dug hell 150' deeper, just for him!@FoxNews The saddest part, this story will be forgotten and buried within 4 weeks.@FoxNews I get depressed too, but do I feel the need to kill 150 innocent people? No. @debrajsaunders @hknightsf @annkillion @MissBigelow@FoxNews this is the saddest story ever. ... what a waste of life.  How terrifying 4 those innocent passengers.@FoxNews @AirCrashMayday How does depression lead to mass murder of innocents. This is closer to a school shooting than suicide@FoxNews they really need to evaluate these people better .There's much at stake.@FoxNews 
Its a sad state when a coward that wants to kill himself takes men, women and children with him.@FoxNews  #germanwings  suicide or terrorist attack the end result is the same, not the liability.@FoxNews Death wish is one thing but murderous, homicidal behavior is something else. This guy was also psychotic. Must've been signs.@FoxNews The airline should have known that!@FoxNews six years ago... real good evidence.  Not!Germanwings co-pilot battled depression in '09, friends say. http://t.co/srhDPf4Zn5 http://t.co/I3Zd1RyNud",rumours
21,21,21,"@airlivenet 4U9525 flight?@NathBoiss @airlivenet OK, thank you.Gadver! “@airlivenet: BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.”@airlivenet @KayBurley 
Another #Airline disaster. What's going wrong?
@FoxNews @AP @piersmorgan @BBCWorld @LouiseMensch @nytimes @nypost@airlivenet Flightradar shows a gradual descent over the final 10 minutes http://t.co/DxbxCZPE6n@airlivenet no deutch compagnie flight from Marignane this morning@airlivenet Lost height...but speed constant... http://t.co/5H3MAwydIQBREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.",rumours
22,22,22,"@Hasilsah @SanghArmy When the creator and created becomes one, then it is called anafi.@SanghArmy @iPraveenDixit लगता तो ऐसा ही है@SanghArmy because of islam is everlasting religion......so I request you don't worship creation worship the creator.........@ganapathyhegde @SanghArmy What you are saying please don't make statement unless you know truth@SanghArmy अाज अष्टम नवरात्र है।माता महागौरी का अाशिर्वाद प्राप्त करे।@SanghArmy अाज अष्टम नवरात्र है।माता महागौरी का अाशिर्वाद प्राप्त करे।कन्यापुजन कर सकते हैं।@Hasilsah @SanghArmy dear hasil, the truth is simple.God is the creator. He entered into every atom of it. He is our caretaker.@SanghArmy But why kill innocents?The co-pilot of the Germanwings Airbus was a convert to Islam http://t.co/Q7yHJ4Ne2d",rumours
23,23,23,"@UlrichJvV Hope we will not to hear this kind of news once again!@UlrichJvV difficult times for the families involved what a loss@UlrichJvV :thank you for putting me on the TB list.@UlrichJvV I recorded this today thinking about all those lost spirits May they Rest Easy - https://t.co/cO9bSmedtW@UlrichJvV So sad to know that it was a deliberate suicide@UlrichJvV @affinity292 how many 'nazis' did leebowitz kill ?https://t.co/bZdlBn9qiF@UlrichJvV A tragedy for the families and friends of the plane travelers and workers! Despite news, may at least some of them could survive?@UlrichJvV Lets wait for NTSB to tell us why it happened. I hope its not terrorism.@UlrichJvV A White European terrorist did a white wing suicide terrorist attack@UlrichJvV my support for families :-(@UlrichJvV Это горе.Об этом будут долго говорить.Но почему забыли о сбитом Киевом боинге777 и почему ЕС и США скрывают правду?!Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G",rumours
24,24,24,"@thatjohn @AirlineReporter Just over 4500 fpm average rate of descent...completely normal and would seem controlled...@thatjohn @AirlineReporter at what point during those 8 min did distress call go out?#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",rumours
25,25,25,"@USATODAY no shit#BREAKING German media report says Germanwings co-pilot had 'serious depressive episode' http://t.co/v9gT8shDkK @USATODAY“@USATODAY: #BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/MRATjQOHwA”@USATODAY St.Clause:Harder psycological pilottest,and changing of cabindoor-electronik is necessary immidately!Mental health/illness is a very serious issue “@USATODAY: #Germanwings co-pilot had 'serious depressive episode' http://t.co/C8yyJvMx49”RT“@USATODAY: #BREAKING German media report #Germanwings co-pilot had 'serious depressive episode' http://t.co/swcYMECS51”#GermanWingsCrash“@USATODAY: #BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/1JHG2yeiXz” @LUPITAMARTINEZA@Phil_Buck @SarahFortnerWx @USATODAY We need to make sure everyone gets help! I nearly took myself when I was young as a result...Sad @USATODAY“@USATODAY: #BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/MqxiLuq6xa” Understatment, much?@BigSteveShow @USATODAY And sad lonely times, but this pc is an exception trust me :D“@USATODAY: #BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/WCI0JlL7lY”#flight9525 #German#BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/9AsVPxukV8",rumours
26,26,26,"@DanOClunaigh @Zone6Combat Didn't assume u a Muslim as didn't read thread , just saw that tiresome word, didn't mention pilot either@DanOClunaigh @Zone6Combat As u r a non Muslim, I'm curious as to your concerns of any implication of Islamic involvement ?@Zone6Combat The 'Andreas Lubitz Fans' page was set up by some brainless fool of the other variety or an agent provocateur. It's not his..@DanOClunaigh Find the article, complete w/ screenshots of his personal Facebook acct w/ Jihadist rhetoric before calling ppl idiots.@ellepuntopi È bellissimo che mettono la foto dove c'è scritto ""not known as terrorist"" asserendo il contrario. @Zone6Combat@Zone6Combat ...it's how investigation works among professionals who aren't hysterical islamophobes.@OkKelly22 @Zone6Combat I have no concern that there was any Islamist involvement, looks like he was a good European Christian if anything.@Zone6Combat he could have aimed that plane at the Sagrada Familia or Trade Center in Barcelona, how come he didn't?@Zone6Combat are you actually kidding? Please point to the substantial evidence of terrorist motives. Evidence pls. Even just one bit.@Zone6Combat WHERE is this Facebook page you speak of? Let's see it. The world needs your evidence!.@SimZombie @ellepuntopi Not being a ""known terrorist"" on a watch list doesn't mean he didn't have jihadist sympathies and beliefs.@Zone6Combat Lack of substantial evidence of any terrorist motives means it's not terrorism, until such motives are found. Yep, sound logic,@Zone6Combat better yet, link it with your ridiculous tweet so everyone can read it.@Zone6Combat #facepalm Yeah I'm the delusional one here.@Zone6Combat Noooooooooooooooo. Who would have EVER thought.@Zone6Combat As you say. @ellepuntopi@DanOClunaigh @Zone6Combat  ::::yawn:::: http://t.co/NjBemt7cHo@Zone6Combat great fact checking there you idiots.@Zone6Combat Um yes, terrorism is by definition political.@OkKelly22 @Zone6Combat I'm not a Muslim and there's absolutely no evidence that the copilot was either.@OkKelly22 @Zone6Combat Now getting back to the point: in absence of ANY evidence your assertions are groundless so why make them?@Zone6Combat He had 10 mins, a microphone and the whole world listening to that voice recorder, where was his political message?#Germanwings #CoPilot was a recent Muslim convert as well as a psychiatric patient. #ISIS is lauding him as a hero. http://t.co/J29Y3tDjOP",rumours
27,27,27,"@airlivenet @zerohedge @PollyR_Aviation CERNed.  A new verb.@airlivenet @zerohedge @PollyR_Aviation profile looks like a constant ROD, suggestive of cabin press/fire/smoke, OP DESC w/ speed brakes@airlivenet @JulesSunbeam @PollyR_Aviation terrible loss@airlivenet @zerohedge @PollyR_Aviation Who needs terrorists?@airlivenet @zerohedge @PollyR_Aviation not true... descend didnt exceed the 3500 ft/m. Normal descend speed.#4U9525 - The Airbus 320 plunged at a rate of 5,000 feet per minute before crashing.  - @PollyR_Aviation",rumours
28,28,28,@thatjohn @mschenk@thatjohn Have they named the pilot?#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,rumours
29,29,29,"@WIRED I thought normal procedure is for a flight attendant to wait in the cockpit until the other pilot returns?@WIRED sounds like the pilot may have had a stroke/MI?Terrifying, designed not to happen. Wtf?
“@WIRED:...pilot was locked out of the Germanwings cockpit b/f the crash http://t.co/1yf84xLhdJ”@wired horrible crash stories in the past year.  i wonder if there's a company looking to co-locate flight recorders based on these events@WIRED who needs more evidence that the pilote in the cockpit was neutralised ?@WIRED @RobertDavidStee Sounds like pilot suicide/homicide.Yo it's red RT“@WIRED: Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash http://t.co/GAjktOKmyy”“@WIRED: Recovered black box shows a pilot was locked out of the Germanwings cockpit  http://t.co/CLoXMydgi6 http://t.co/25PHOnDwmN”@WIRED suicide and mass murder@WIRED Whoa...and if the pilot at the helm had an 8 minute Aloha Snackbar mantra going would they admit it?@sevodreams agree. Most simple solution@WIRED what…@WIRED That's Terrible if it's True? TTT@WIRED why are we still relying on on-board data recorders? Surely we could compact and steam key data via satellite.@WIRED why was 1 pilot outside cockpit? Problem is these new anti terror doors have stopped pilot saving plane. What was other pilot doing?@WIRED wtf are airlines reliant on black boxes still?Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash http://t.co/ac6AdA5NKL http://t.co/bxgMNjEGeW",rumours
30,30,30,Airline #Germanwings says 144 passengers and six crew were on board the plane which crashed near #Digne,rumours
31,31,31,"@RT_com i pray there won't be fatalities@RT_com pfffff@Mafroor1 @RT_com Most likely Putins Russia Maduros Venezuela or the Ayatollas Iran...@RT_com OMG!!!@RT_com - where ar the LIVE pictures?@ntusit @RT_com Du bist so behindert ...@RT_com God have mercy!@ntusit @RT_com what are you on about?@RT_com so sad@RT_com: ""BREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France…"" #1 in #Pakistan http://t.co/lecIF3zael@RT_com @maxvatanenrally All my respect and my condolences@RT_com @guidedheart My condolences.The news aren't yet decisive I believe nor clear.'Indeed in tht are signs for a ppl who give thought'Q45@RT_com BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie@RT_com  hope the anti Russia gang(EU) is not going to blame it on Russia #Digne #4U9525RT @RT_com: BREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France #4U9525 http://t.co/OLF0IbhqYY@RT_com @AMWJ_Pak really very sad news May Allah rest their souls in peace@RT_com So, CIA/Mosad/MI6 got new stuff to put blame on someone/anyone they want!!!@RT_com Airbus A320 Jet Crash: FIRST PICTURES OF THE CRASH?? https://t.co/n8gcu3tAfpBREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France #4U9525 http://t.co/XTMaa9mAV2 http://t.co/ADAEpPZdMY",rumours
32,32,32,"@NBCNews terrible situation...Let's pray to God to take control!Tragedy strikes again RT “@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/SSgQepeizR”@NBCNews @Mao_A_Moon damn, thats the airlines i normally use when going Germany bro.RT @NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/OaZWx4f6BZ http://t.co/q9wuZeMChj@NBCNews que merda!#Breaking RT @NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/IKWmXRw9Sk http://t.co/sms8KtXxgX@NBCNews Praying for the families and friends of those involved in crash. I'm so sorry for your loss.@volkz_20 @NBCNews Ohhh man, terrible news for all the victims' families!“@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/T6uZaKHVgv http://t.co/6J9TqLwwea” sad sad day“@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/kaBcS2rIfh http://t.co/3FSh7RHSDx” @drunkBills!!#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr",rumours
33,33,33,"MORE Airbus A320 that crashed in southern France operated by Germanwings, carrying 142 passengers, 2 pilots, 4 crew http://t.co/XwKPmofTD9",rumours
